ID,time,devEUI,deviceName,in6,in18,in36,moist_open_6,moist_open_18,moist_open_36,moist_sub_6,moist_sub_18,moist_sub_36
ffd189d0-65a1-11e9-8b30-b827eb637591,1556008207,0004A30B0023EF1C,023EF1C,TERA00045a,TERA00045b,TERA00045c,2.8374,2.8297,2.8922,2.3826,2.3281,2.204
5d2a5098-76dd-11e9-ae9c-b827eb637591,1557902873,0004A30B0023F05D,023F05D,TERA00218e,TERA00227d,TERA00227e,2.8536,2.8372,2.8842,2.1396,2.1946,2.2196
99157a16-bf48-11e9-97f0-b827eb637591,1565865414,0004A30B0023F0EA,023F0EA,TER19260063a,TER19260063b,TER19260063c,2.7867,2.7738,2.7711,2.385,2.2983,2.2793
879996d8-76d6-11e9-9d0e-b827eb637591,1557899938,0004A30B0023F117,023F117,TERA00316b,TERA00316a,TERA00316c,2.8256,2.8329,2.9097,2.2857,2.233,2.2519
6d88cb2c-754d-11e9-81a5-b827eb637591,1557731102,0004A30B0023F288,023F288,TERA00206a,TERA00206b,TERA00206c,2.8012,2.842,2.9285,2.0337,2.1307,2.222
e5ecf3ec-bfe2-11e9-b08b-b827eb637591,1565931685,0004A30B0023F353,023F353,TER19260042c,TER19260042d,TER19260042e,2.8581,2.835,2.8654,2.2483,2.294,2.1409
1d82dbb6-7554-11e9-88fc-b827eb637591,1557733974,0004A30B0023F3FC,023F3FC,TERA00219a,TERA00219b,TERA00219c,2.8372,2.8264,2.9248,2.1401,2.1818,2.2032
82db543c-bf1b-11e9-b79c-b827eb637591,1565846049,0004A30B0023F431,023F431,TER19260004a,TER19260004b,TER19260004d,2.7888,2.8103,2.8936,2.2511,2.2583,2.3738
66e00860-7545-11e9-8bed-b827eb637591,1557727655,0004A30B0023F4A4,023F4A4,TERA00310e,TERA00188a,TERA00188b,2.8291,2.8492,2.881,2.1826,2.2497,2.1581
1f26d25e-6a43-11e9-8df5-b827eb637591,1556517213,0004A30B0023F4DB,023F4DB,TERA00250a,TERA00250b,TERA00250c,2.8418,2.8178,2.8697,2.1831,2.2481,2.254
eae0914a-7520-11e9-9c51-b827eb637591,1557711985,0004A30B0023F595,023F595,TERA00320b,TERA00320c,TERA00320d,2.8245,2.8127,2.8869,2.2067,2.2642,2.2438
260ed02c-65a6-11e9-bd06-b827eb637591,1556009989,0004A30B0023F758,023F758,TERA00071b,TERA00071c,TERA00071d,2.8463,2.8197,2.8315,2.3617,2.3442,2.2097
4e247ef8-76d7-11e9-b573-b827eb637591,1557900271,0004A30B0023F7B7,023F7B7,TERA00320e,TERA00318a,TERA00318b,2.7794,2.7509,2.9051,2.1573,2.2347,2.1089
c0e2d92c-bfc4-11e9-b1d8-b827eb637591,1565918738,0004A30B0023F7BD,023F7BD,TER19260064a,TER19260064b,TER19260045e,2.8237,2.8374,2.8947,2.2454,2.2411,2.3526
a0de5f8a-7540-11e9-adf0-b827eb637591,1557725605,0004A30B0023F845,023F845,TERA00191a,TERA00191b,TERA00191c,2.8471,2.8237,2.9277,2.2682,2.2511,2.156
a398bf4e-751e-11e9-9048-b827eb637591,1557711007,0004A30B0023F94C,023F94C,TERA00198e,TERA00237d,TERA00237e,2.8175,2.8205,2.8944,2.3185,2.3424,2.2752
9132f524-7544-11e9-b4c0-b827eb637591,1557727297,0004A30B0023F9A7,023F9A7,TERA00182b,TERA00182a,TERA00182c,2.8379,2.8425,2.925,2.1172,2.2312,2.2883
b90a4a3e-76d4-11e9-8f3c-b827eb637591,1557899162,0004A30B0023F9A8,023F9A8,TERA00208a,TERA00208b,TERA00208c,2.8165,2.8211,2.8927,2.3109,2.1766,2.2253
5f974a86-755a-11e9-b90e-b827eb637591,1557736662,0004A30B0023F9E7,023F9E7,TERA00169b,TERA00169c,TERA00169d,2.8506,2.8465,2.9156,2.1871,2.193,2.0264
c6bca6d6-753f-11e9-8aad-b827eb637591,1557725239,0004A30B00240BE5,0240BE5,TERA00170d,TERA00170e,TERA00169a,2.8031,2.8022,2.9417,2.1858,2.2048,2.1239
2838a7b8-bf21-11e9-beaf-b827eb637591,1565848474,0004A30B00240BED,0240BED,TER19260108b,TER19260108d,TER19260108e,2.7539,2.8108,2.849,2.3254,2.2886,2.2317
1caf5522-76d8-11e9-a6e4-b827eb637591,1557900618,0004A30B00240C62,0240C62,TERA00318c,TERA00318d,TERA00318e,2.8057,2.824,2.8823,2.0737,2.1884,2.2046
d6e97abc-7548-11e9-914c-b827eb637591,1557729132,0004A30B00240D1F,0240D1F,TERA00182d,TERA00182e,TERA00179a,2.8138,2.834,2.9237,2.2746,2.3007,1.9523
6b892cea-76d8-11e9-a384-b827eb637591,1557900750,0004A30B00240D25,0240D25,TERA00198d,TERA000132d,TERA000132e,2.8218,2.831,2.9349,2.1782,2.1807,2.2717
a86c11d6-753e-11e9-b286-b827eb637591,1557724759,0004A30B00240E2B,0240E2B,TERA00226a,TERA00226b,TERA00226c,2.8068,2.8402,2.8817,2.2156,2.2411,2.0952
761a8dd8-65a4-11e9-b9fb-b827eb637591,1556009264,0004A30B00240FA0,0240FA0,TERA000146a,TERA000146b,TERA000146c,2.8237,2.8068,2.9148,2.1602,2.2862,2.3555
a7dd7ee8-756c-11e9-8ba5-b827eb637591,1557744514,0004A30B00241017,0241017,TERA00206d,TERA00202d,TERA00202e,2.8106,2.7944,2.9124,2.265,2.2048,2.3736
c4934caa-c000-11e9-8e70-b827eb637591,1565944514,0004A30B0024103F,024103F,TER19260054d,TER19260054e,TER19260014b,2.1001,2.3128,2.2629,2.0993,2.312,2.2621
